,Name,Survival,Fare,Age,PassengerClass,No_of_siblings_plus_spouses_on_board,No_of_parents_plus_children_on_board,Sex_female,Sex_male,Sex_nan,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_Unkown,Embarked_Cherbourg,Embarked_Queenstown,Embarked_Southampton,Embarked_Unknown
197,"Lobb, Mr. William Arthur",0,16.1,30.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
198,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",0,20.2125,41.0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
199,"Touma, Mrs. Darwis (Hanne Youssef Razi)",1,15.2458,29.0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
200,"Cherry, Miss. Gladys",1,86.5,30.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
201,"Ward, Miss. Anna",1,512.3292,35.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
202,"Taussig, Mr. Emil",0,79.65,52.0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
203,"Harrison, Mr. William",0,0.0,40.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
204,"Henry, Miss. Delia",0,7.75,-999.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
205,"Reeves, Mr. David",0,10.5,36.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
206,"Panula, Mr. Ernesti Arvid",0,39.6875,16.0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
207,"Persson, Mr. Ernst Ulrik",1,7.775,25.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
208,"Graham, Mrs. William Thompson (Edith Junkins)",1,153.4625,58.0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
209,"Bissette, Miss. Amelia",1,135.6333,35.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
210,"Cairns, Mr. Alexander",0,31.0,-999.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
211,"Tornquist, Mr. William Henry",1,0.0,25.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
212,"Mellinger, Mrs. (Elizabeth Anne Maidment)",1,19.5,41.0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
213,"Natsch, Mr. Charles H",0,29.7,37.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
214,"Lindblom, Miss. Augusta Charlotta",0,7.75,45.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
215,"Parkes, Mr. Francis ""Frank""",0,0.0,-999.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
216,"Rice, Master. Eric",0,29.125,7.0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
217,"Duane, Mr. Frank",0,7.75,65.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
218,"Olsson, Mr. Nils Johan Goransson",0,7.8542,28.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
219,"de Pelsmaeker, Mr. Alfons",0,9.5,16.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
220,"Dorking, Mr. Edward Arthur",1,8.05,19.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
221,"Stankovic, Mr. Ivan",0,8.6625,33.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
222,"de Mulder, Mr. Theodore",1,9.5,30.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
223,"Naidenoff, Mr. Penko",0,7.8958,22.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
224,"Hosono, Mr. Masabumi",1,13.0,42.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
225,"Barber, Miss. Ellen ""Nellie""",1,78.85,26.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
226,"Haas, Miss. Aloisia",0,8.85,24.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
227,"Mineff, Mr. Ivan",0,7.8958,24.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
228,"Hanna, Mr. Mansour",0,7.2292,23.5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
229,"Allison, Miss. Helen Loraine",0,151.55,2.0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
230,"Saalfeld, Mr. Adolphe",1,30.5,-999.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
231,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",1,247.5208,50.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
232,"Kelly, Miss. Anna Katherine ""Annie Kate""",1,7.75,-999.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
233,"McCoy, Mr. Bernard",1,23.25,-999.0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
234,"Johnson, Mr. William Cahoone Jr",0,0.0,19.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
235,"Keane, Miss. Nora A",1,12.35,-999.0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
236,"Allison, Master. Hudson Trevor",1,151.55,0.92,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
237,"Fleming, Miss. Margaret",1,110.8833,-999.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
238,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",1,108.9,17.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
239,"Abelson, Mr. Samuel",0,24.0,30.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
240,"Francatelli, Miss. Laura Mabel",1,56.9292,30.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
241,"Hays, Miss. Margaret Bechstein",1,83.1583,24.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
242,"Ryerson, Miss. Emily Borie",1,262.375,18.0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
243,"Lahtinen, Mrs. William (Anna Sylfven)",0,26.0,26.0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
244,"Hendekovic, Mr. Ignjac",0,7.8958,28.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
245,"Hart, Mr. Benjamin",0,26.25,43.0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
246,"Nilsson, Miss. Helmina Josefina",1,7.8542,26.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
247,"Kantor, Mrs. Sinai (Miriam Sternin)",1,26.0,24.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
248,"Moraweck, Dr. Ernest",0,14.0,54.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
249,"Wick, Miss. Mary Natalie",1,164.8667,31.0,1,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
250,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",1,134.5,40.0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
251,"Dennis, Mr. Samuel",0,7.25,22.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
252,"Danoff, Mr. Yoto",0,7.8958,27.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
253,"Slayter, Miss. Hilda Mary",1,12.35,30.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
254,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",1,29.0,22.0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
255,"Young, Miss. Marie Grice",1,135.6333,36.0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
256,"Ball, Mrs. (Ada E Hall)",1,13.0,36.0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
257,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",1,20.525,31.0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
258,"Hippach, Miss. Jean Gertrude",1,57.9792,16.0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
259,"McCoy, Miss. Agnes",1,23.25,-999.0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
260,"Partner, Mr. Austen",0,28.5,45.5,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
261,"Graham, Mr. George Edward",0,153.4625,38.0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
262,"Vander Planke, Mr. Leo Edmondus",0,18.0,16.0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
263,"Pears, Mr. Thomas Clinton",0,66.6,29.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
264,"Dahl, Mr. Karl Edwart",1,8.05,45.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
265,"Blackwell, Mr. Stephen Weart",0,35.5,45.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
266,"Navratil, Master. Edmond Roger",1,26.0,2.0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
267,"Fortune, Miss. Alice Elizabeth",1,263.0,24.0,1,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
268,"Collander, Mr. Erik Gustaf",0,13.0,28.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
269,"Sedgwick, Mr. Charles Frederick Waddington",0,13.0,25.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
270,"Fox, Mr. Stanley Hubert",0,13.0,36.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
271,"Brown, Miss. Amelia ""Mildred""",1,13.0,24.0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
272,"Smith, Miss. Marion Elsie",1,13.0,40.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
273,"Davison, Mrs. Thomas Henry (Mary E Finck)",1,16.1,-999.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
274,"Coutts, Master. William Loch ""William""",1,15.9,3.0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
275,"Odahl, Mr. Nils Martin",0,9.225,23.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
276,"Williams-Lambert, Mr. Fletcher Fellows",0,35.0,-999.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
277,"Elias, Mr. Tannous",0,7.2292,15.0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
278,"Arnold-Franchi, Mr. Josef",0,17.8,25.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
279,"Yousif, Mr. Wazli",0,7.225,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
280,"Vanden Steen, Mr. Leo Peter",0,9.5,28.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
281,"Bowerman, Miss. Elsie Edith",1,55.0,22.0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
282,"Funk, Miss. Annie Clemmer",0,13.0,38.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
283,"McGovern, Miss. Mary",1,7.8792,-999.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
284,"Mockler, Miss. Helen Mary ""Ellie""",1,7.8792,-999.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
285,"Skoog, Mr. Wilhelm",0,27.9,40.0,3,1,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
286,"Barbara, Mrs. (Catherine David)",0,14.4542,45.0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
287,"Asim, Mr. Adola",0,7.05,35.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
288,"O'Brien, Mr. Thomas",0,15.5,-999.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
289,"Adahl, Mr. Mauritz Nils Martin",0,7.25,30.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
290,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",1,75.25,60.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
291,"Moussa, Mrs. (Mantoura Boulos)",1,7.2292,-999.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
292,"Jermyn, Miss. Annie",1,7.75,-999.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
293,"Aubart, Mme. Leontine Pauline",1,69.3,24.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
294,"Harder, Mr. George Achilles",1,55.4417,25.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
295,"Wiklund, Mr. Jakob Alfred",0,6.4958,18.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
296,"Ringhini, Mr. Sante",0,135.6333,22.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
297,"Palsson, Miss. Stina Viola",0,21.075,3.0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
298,"Landergren, Miss. Aurora Adelia",1,7.25,22.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
299,"Betros, Mr. Tannous",0,4.0125,20.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
300,"Bidois, Miss. Rosalie",1,227.525,42.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
301,"Nakid, Miss. Maria (""Mary"")",1,15.7417,1.0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
302,"Tikkanen, Mr. Juho",0,7.925,32.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
303,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",1,52.0,35.0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
304,"Davies, Mr. Charles Henry",0,73.5,18.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
305,"Buss, Miss. Kate",1,13.0,36.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
306,"Lehmann, Miss. Bertha",1,12.0,17.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
307,"Carter, Mr. William Ernest",1,120.0,36.0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
308,"Jansson, Mr. Carl Olof",1,7.7958,21.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
309,"Newell, Miss. Marjorie",1,113.275,23.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
310,"Johansson, Mr. Erik",0,7.7958,22.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
311,"Olsson, Miss. Elina",0,7.8542,31.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
312,"McKane, Mr. Peter David",0,26.0,46.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
313,"Pain, Dr. Alfred",0,10.5,23.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
314,"Trout, Mrs. William H (Jessie L)",1,12.65,28.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
315,"Adams, Mr. John",0,8.05,26.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
316,"Jussila, Miss. Mari Aina",0,9.825,21.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
317,"Hakkarainen, Mr. Pekka Pietari",0,15.85,28.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
318,"Oreskovic, Miss. Marija",0,8.6625,20.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
319,"Gale, Mr. Shadrach",0,21.0,34.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
320,"Widegren, Mr. Carl/Charles Peter",0,7.75,51.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
321,"Richards, Master. William Rowe",1,18.75,3.0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
322,"Birkeland, Mr. Hans Martin Monsen",0,7.775,21.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
323,"Lefebre, Miss. Ida",0,25.4667,-999.0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
324,"Sdycoff, Mr. Todor",0,7.8958,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
325,"Hart, Mr. Henry",0,6.8583,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
326,"Cunningham, Mr. Alfred Fleming",0,0.0,-999.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
327,"Sundman, Mr. Johan Julian",1,7.925,44.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
328,"Meek, Mrs. Thomas (Annie Louise Rowley)",0,8.05,-999.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
329,"Drew, Mrs. James Vivian (Lulu Thorne Christian)",1,32.5,34.0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
330,"Silven, Miss. Lyyli Karoliina",1,13.0,18.0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
331,"Van Impe, Miss. Catharina",0,24.15,10.0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
332,"Gheorgheff, Mr. Stanio",0,7.8958,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
333,"Zimmerman, Mr. Leo",0,7.875,29.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
334,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",0,14.4,28.0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
335,"Rosblom, Mr. Viktor Richard",0,20.2125,18.0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
336,"Wiseman, Mr. Phillippe",0,7.25,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
337,"Clarke, Mrs. Charles V (Ada Maria Winfield)",1,26.0,28.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
338,"Flynn, Mr. James",0,7.75,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
339,"Pickard, Mr. Berk (Berk Trembisky)",1,8.05,32.0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
340,"Bjornstrom-Steffansson, Mr. Mauritz Hakan",1,26.55,28.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
341,"Thorneycroft, Mrs. Percival (Florence Kate White)",1,16.1,-999.0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
342,"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",1,26.0,42.0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
343,"Kallio, Mr. Nikolai Erland",0,7.125,17.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
344,"Silvey, Mr. William Baird",0,55.9,50.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
345,"Carter, Miss. Lucile Polk",1,120.0,14.0,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
346,"Ford, Miss. Doolina Margaret ""Daisy""",0,34.375,21.0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
347,"Richards, Mrs. Sidney (Emily Hocking)",1,18.75,24.0,2,2,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
348,"Fortune, Mr. Mark",0,263.0,64.0,1,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
349,"Kvillner, Mr. Johan Henrik Johannesson",0,10.5,31.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
350,"Hampe, Mr. Leon",0,9.5,20.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
351,"Petterson, Mr. Johan Emil",0,7.775,25.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
352,"Reynaldo, Ms. Encarnacion",1,13.0,28.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
353,"Dodge, Master. Washington",1,81.8583,4.0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
354,"Mellinger, Miss. Madeleine Violet",1,19.5,13.0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
355,"Seward, Mr. Frederic Kimber",1,26.55,34.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
356,"Baclini, Miss. Marie Catherine",1,19.2583,5.0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
357,"West, Mr. Edwy Arthur",0,27.75,36.0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
358,"Hagland, Mr. Ingvald Olai Olsen",0,19.9667,-999.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
359,"Foreman, Mr. Benjamin Laventall",0,27.75,30.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
360,"Goldenberg, Mr. Samuel L",1,89.1042,49.0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
361,"Peduzzi, Mr. Joseph",0,8.05,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
362,"Jalsevac, Mr. Ivan",1,7.8958,29.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
363,"Millet, Mr. Francis Davis",0,26.55,65.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
364,"Kenyon, Mrs. Frederick R (Marion)",1,51.8625,-999.0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
365,"Toomey, Miss. Ellen",1,10.5,50.0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
366,"O'Connor, Mr. Maurice",0,7.75,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
367,"Morley, Mr. William",0,8.05,34.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
368,"Gee, Mr. Arthur H",0,38.5,47.0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
369,"Maisner, Mr. Simon",0,8.05,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
370,"Goncalves, Mr. Manuel Estanslas",0,7.05,38.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
371,"Campbell, Mr. William",0,0.0,-999.0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
372,"Smart, Mr. John Montgomery",0,26.55,56.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
373,"Scanlan, Mr. James",0,7.725,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
374,"Baclini, Miss. Helene Barbara",1,19.2583,0.75,3,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
375,"Keefe, Mr. Arthur",0,7.25,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
376,"Cacic, Mr. Luka",0,8.6625,38.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
377,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",1,13.7917,23.0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
378,"Strandberg, Miss. Ida Sofia",0,9.8375,22.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
379,"Clifford, Mr. George Quincy",0,52.0,-999.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
380,"Renouf, Mr. Peter Henry",0,21.0,34.0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
381,"Braund, Mr. Lewis Richard",0,7.0458,29.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
382,"Hirvonen, Miss. Hildur E",1,12.2875,2.0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
383,"Goodwin, Master. Harold Victor",0,46.9,9.0,3,5,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
384,"Rouse, Mr. Richard Henry",0,8.05,50.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
385,"Turkula, Mrs. (Hedwig)",1,9.5875,63.0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
386,"Lefebre, Miss. Jeannie",0,25.4667,-999.0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
387,"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",1,90.0,35.0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
388,"Kent, Mr. Edward Austin",0,29.7,58.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
389,"Somerton, Mr. Francis William",0,8.05,30.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
390,"Coutts, Master. Eden Leslie ""Neville""",1,15.9,9.0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
391,"Hagland, Mr. Konrad Mathias Reiersen",0,19.9667,-999.0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
392,"Molson, Mr. Harry Markland",0,30.5,55.0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
393,"Artagaveytia, Mr. Ramon",0,49.5042,71.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
394,"Stanley, Mr. Edward Roland",0,8.05,21.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
395,"Yousseff, Mr. Gerious",0,14.4583,-999.0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
